2013-345T12:00:00.000000,  6.57893161227543e+01, -1.20036465288224e+01,  1.90070646737071e+10,  6.57969494427499e+01, -1.19940428710115e+01,  1.90049148915888e+10,  2.57576087507586e+02,  1.19209614895562e+01,  1.90070632800388e+10,  2.57563730339594e+02,  1.19215808090493e+01,  1.90049134981225e+10,  6.34007433025786e+04,  1.26800485346794e+05,  4.87240177547503e-05,  6.33935724013071e+04,  1.26787852788210e+05,  4.87032423642908e-05,  1.01835584747629e-04
2013-346T12:00:00.000000,  6.64224389709901e+01, -1.12758036684523e+01,  1.90083370711648e+10,  6.64300798698593e+01, -1.12662386200100e+01,  1.90061871216801e+10,  2.57584502222198e+02,  1.19206363219319e+01,  1.90083357569532e+10,  2.57572151719816e+02,  1.19211404502576e+01,  1.90061858076617e+10,  6.34049875636457e+04,  1.26808793860555e+05,  4.72906344385828e-05,  6.33978161040999e+04,  1.26796521796882e+05,  4.72700212794783e-05,  9.89781752307324e-05
2013-347T12:00:00.000000,  6.70496881928056e+01, -1.05443982814250e+01,  1.90095726030694e+10,  6.70573378722709e+01, -1.05348750465265e+01,  1.90074224904263e+10,  2.57592908956526e+02,  1.19203897575480e+01,  1.90095713689061e+10,  2.57580568547368e+02,  1.19207785859052e+01,  1.90074212564475e+10,  6.34091088544641e+04,  1.26816856846750e+05,  4.58608611279765e-05,  6.34019368506806e+04,  1.26804944518626e+05,  4.58404100714369e-05,  9.61270658612916e-05
2013-348T12:00:00.000000,  6.76712858213689e+01, -9.80954978843910e+00,  1.90107713562257e+10,  6.76789455054016e+01, -9.80007156451492e+00,  1.90086210846302e+10,  2.57601305416173e+02,  1.19202218471059e+01,  1.90107702026793e+10,  2.57588978500193e+02,  1.19204952816275e+01,  1.90086199312593e+10,  6.34131074645839e+04,  1.26824674902201e+05,  4.44348406217273e-05,  6.34059349305919e+04,  1.26813121511400e+05,  4.44145515064766e-05,  9.32825782270361e-05
2013-349T12:00:00.000000,  6.82874514209542e+01, -9.07137432413959e+00,  1.90119334209084e+10,  6.82951223495155e+01, -9.06194430798240e+00,  1.90097829945634e+10,  2.57609689318765e+02,  1.19201326323322e+01,  1.90119323485237e+10,  2.57597379276745e+02,  1.19202905932425e+01,  1.90097819223455e+10,  6.34169836951281e+04,  1.26832248646498e+05,  4.30127045219439e-05,  6.34098106449476e+04,  1.26821053358674e+05,  4.29925771612802e-05,  9.04449914598402e-05
2013-350T12:00:00.000000,  6.88984019915639e+01, -8.32998469472286e+00,  1.90130588907101e+10,  6.89060854145774e+01, -8.32060608785919e+00,  1.90109083138157e+10,  2.57618058388689e+02,  1.19201221459338e+01,  1.90130579000088e+10,  2.57605768590076e+02,  1.19201645674375e+01,  1.90109073232720e+10,  6.34207378582890e+04,  1.26839578722060e+05,  4.15945835546896e-05,  6.34135643059295e+04,  1.26828740667164e+05,  4.15746177419787e-05,  8.76145673245437e-05
2013-351T12:00:00.000000,  6.95043519640261e+01, -7.58549038726659e+00,  1.90141478626459e+10,  6.95120491355732e+01, -7.57616640061597e+00,  1.90119971393983e+10,  2.57626410352266e+02,  1.19201904111093e+01,  1.90141469541256e+10,  2.57614144162358e+02,  1.19201172419501e+01,  1.90119962310266e+10,  6.34243702776734e+04,  1.26846665796041e+05,  4.01806170121733e-05,  6.34171962371324e+04,  1.26836184066236e+05,  4.01608125247918e-05,  8.47915708000350e-05
2013-352T12:00:00.000000,  7.01055133000175e+01, -6.83799766155860e+00,  1.90152004374906e+10,  7.01132254728328e+01, -6.82873151928280e+00,  1.90130495720821e+10,  2.57634742933501e+02,  1.19203374406505e+01,  1.90151996116255e+10,  2.57622503719818e+02,  1.19201486452821e+01,  1.90130487463564e+10,  6.34278812894307e+04,  1.26853510563552e+05,  3.87709613316119e-05,  6.34207067746917e+04,  1.26843384208739e+05,  3.87513179333449e-05,  8.19762884208718e-05
2013-353T12:00:00.000000,  7.07020956824980e+01, -6.08760970461079e+00,  1.90162167203195e+10,  7.07098241029201e+01, -6.07840464705076e+00,  1.90140657169376e+10,  2.57643053850555e+02,  1.19205632357208e+01,  1.90162159775596e+10,  2.57630844988199e+02,  1.19202587959719e+01,  1.90140649743080e+10,  6.34312712440534e+04,  1.26860113751769e+05,  3.73657969150520e-05,  6.34240962690849e+04,  1.26850341774046e+05,  3.73463143569535e-05,  7.91690441487484e-05
2013-354T12:00:00.000000,  7.12943067428559e+01, -5.33442681626875e+00,  1.90171968211899e+10,  7.13020526463861e+01, -5.32528610197239e+00,  1.90150456840172e+10,  2.57651340813019e+02,  1.19208677844569e+01,  1.90171961619615e+10,  2.57639165688900e+02,  1.19204477014974e+01,  1.90150450249098e+10,  6.34345405086538e+04,  1.26866476124704e+05,  3.59653321749525e-05,  6.34273650874073e+04,  1.26857057471454e+05,  3.59460101948976e-05,  7.63702111966747e-05
2013-355T12:00:00.000000,  7.18823522935879e+01, -4.57854660616890e+00,  1.90181408558878e+10,  7.18901169011215e+01, -4.56947351317895e+00,  1.90159895891008e+10,  2.57659601519904e+02,  1.19212510605535e+01,  1.90181402805930e+10,  2.57647463535916e+02,  1.19207153569363e+01,  1.90159890139177e+10,  6.34376894694523e+04,  1.26872598488271e+05,  3.45698043577331e-05,  6.34305136158590e+04,  1.26863532045007e+05,  3.45506426792213e-05,  7.35802183002546e-05
2013-356T12:00:00.000000,  7.24664365748240e+01, -3.82006420807208e+00,  1.90190489466565e+10,  7.24742210894586e+01, -3.81106203481354e+00,  1.90168975544255e+10,  2.57667833658079e+02,  1.19217130219686e+01,  1.90190484556733e+10,  2.57655736233558e+02,  1.19210617435480e+01,  1.90168970635445e+10,  6.34407185342085e+04,  1.26878481694281e+05,  3.31794776529069e-05,  6.34335422621788e+04,  1.26869766278028e+05,  3.31604759837951e-05,  7.07995501619079e-05
2013-357T12:00:00.000000,  7.30467625301662e+01, -3.05907250742945e+00,  1.90199212228581e+10,  7.30545681343105e+01, -3.05014457364212e+00,  1.90177697093457e+10,  2.57676034900777e+02,  1.19222536097975e+01,  1.90199208165401e+10,  2.57663981474755e+02,  1.19214868274316e+01,  1.90177693031206e+10,  6.34436281344280e+04,  1.26884126645207e+05,  3.17946401179227e-05,  6.34364514578474e+04,  1.26875760998130e+05,  3.17757981496112e-05,  6.80287436312965e-05
2013-358T12:00:00.000000,  7.36235320847752e+01, -2.29566236244672e+00,  1.90207578215645e+10,  7.36313599371024e+01, -2.28681201061038e+00,  1.90186061909254e+10,  2.57684202905686e+02,  1.19228727472455e+01,  1.90207575002410e+10,  2.57672196939606e+02,  1.19219905583542e+01,  1.90186058696853e+10,  6.34464187273332e+04,  1.26889534297884e+05,  3.04156018474667e-05,  6.34392416600600e+04,  1.26881517081320e+05,  3.03969192552529e-05,  6.52683831096172e-05
2013-359T12:00:00.000000,  7.41969463933575e+01, -1.52992279716463e+00,  1.90215588881507e+10,  7.42047976250062e+01, -1.52115339470394e+00,  1.90194071445304e+10,  2.57692335312218e+02,  1.19235703384651e+01,  1.90215586521265e+10,  2.57680380293697e+02,  1.19225728687367e+01,  1.90194069085801e+10,  6.34490907978435e+04,  1.26894705668509e+05,  2.90426975186960e-05,  6.34419133537055e+04,  1.26887035456240e+05,  2.90241739634646e-05,  6.25191003368683e-05
2013-360T12:00:00.000000,  7.47672060703873e+01, -7.61941194141771e-01,  1.90223245770491e+10,  7.47750817797752e+01, -7.53256136336998e-01,  1.90201727245830e+10,  2.57700429737776e+02,  1.19243462668484e+01,  1.90223244266044e+10,  2.57688529185741e+02,  1.19232336726412e+01,  1.90201725742026e+10,  6.34516448610894e+04,  1.26899641840458e+05,  2.76762968420442e-05,  6.34444670538809e+04,  1.26892317108333e+05,  2.76579319728829e-05,  5.97815849184553e-05
2013-361T12:00:00.000000,  7.53345114600507e+01,  8.19647694695173e-03,  1.90230550529118e+10,  7.53424127058290e+01,  1.67937640400066e-02,  1.90209030957240e+10,  2.57708483773293e+02,  1.19252003921990e+01,  1.90230549883020e+10,  2.57696641244180e+02,  1.19239728644202e+01,  1.90209030311689e+10,  6.34540814662915e+04,  1.26904343975246e+05,  2.63168261049894e-05,  6.34469033097692e+04,  1.26897363086104e+05,  2.62986195614637e-05,  5.70566121736564e-05
2013-362T12:00:00.000000,  7.58990629104455e+01,  7.80405399797755e-01,  1.90237504924912e+10,  7.59069907026367e+01,  7.88911458017394e-01,  1.90215984346936e+10,  2.57716494979121e+02,  1.19261325461540e+01,  1.90237505139469e+10,  2.57704714072769e+02,  1.19247903164993e+01,  1.90215984561942e+10,  6.34564012030324e+04,  1.26908813330591e+05,  2.49648018837607e-05,  6.34492227109114e+04,  1.26902174510539e+05,  2.49467532954141e-05,  5.43450928684430e-05
2013-363T12:00:00.000000,  7.64610608756624e+01,  1.55460175442872e+00,  1.90244110875140e+10,  7.64690161660284e+01,  1.56301309637112e+00,  1.90222589332039e+10,  2.57724460883440e+02,  1.19271425254473e+01,  1.90244111952405e+10,  2.57712745245837e+02,  1.19256858756214e+01,  1.90222590409657e+10,  6.34586047108430e+04,  1.26913051284254e+05,  2.36208726661897e-05,  6.34514258967912e+04,  1.26906752589524e+05,  2.36029816457234e-05,  5.16481429503688e-05
